year,birthyr,age,weight,trad
2024,1978,46,0.418896998518061,Baptist General Conference
2024,1955,69,0.596598494631787,Independent Baptist
2024,1956,68,0.754509769904323,United Methodist
2024,1966,58,0.522379471650298,Nondenom Charismatic
2024,1965,59,0.138921406370873,Nondenom Charismatic
2024,1944,80,0.149371253244168,Southern Baptist
2024,1940,84,0.551757571378665,Lutheran - Missouri Synod
2024,1954,70,1.33569976143406,Other Baptist
2024,1948,76,0.57696139470097,Disciples of Christ
2024,1957,67,1.76044794724846,PCUSA
2024,1950,74,0.173945956914422,Community Church
2024,1962,62,0.882474552248366,Nondenom Fundamentalist
2024,1965,59,0.869908538297151,Church of God Cleveland TN
2024,1953,71,1.65344674662542,Baptist Miss. Association
2024,1959,65,0.543810368608869,Christian Methodist Episcopal
2024,1955,69,0.843569573218093,Independent Baptist
2024,1969,55,0.623573544721318,Other Baptist
2024,1980,44,0.477310781959408,Nondenom Evangelical
2024,1962,62,0.00340486297461271,Lutheran - Missouri Synod
2024,1995,29,2.57565413440481,Natl. Baptist Convention
2024,1995,29,0.024235423130829,Church of Christ
2024,1985,39,1.26169703276391,Independent Baptist
2024,1985,39,1.26169703276391,Other Reformed
2024,1974,50,0.436251869698775,Baptist Miss. Association
2024,1956,68,0.805179897208293,Other Presbyterian
2024,1952,72,1.56831544911617,United Methodist
2024,1958,66,0.825646032890708,Natl. Baptist Convention
2024,2003,21,0.158235076497769,Other Episcopal
2024,1955,69,0.591878695398832,Gen. Assoc. of Reg. Bapt.
2024,1974,50,0.107676807456356,Nondenom Evangelical
2024,1964,60,2.05549591068839,United Methodist
2024,1948,76,0.752443598976526,TEC
2024,1963,61,1.76668906072551,Baptist Miss. Association
2024,1976,48,0.202051671038567,Other Baptist
2024,1944,80,0.437204358309837,Baptist Miss. Association
2024,1944,80,1.28301516452226,Church of Christ
2024,1950,74,4.54532277426321,Baptist Miss. Association
2024,1990,34,3.53613603130868,Community Church
2024,1952,72,0.550311229312233,Other Reformed
2024,1971,53,0.202168453857965,Independent Baptist
2024,1971,53,0.202168453857965,Church of Christ
2024,1953,71,0.148601946365977,Community Church
2024,1953,71,0.148601946365977,Lutheran - Missouri Synod
2024,1947,77,1.13611182154473,PCUSA
2024,1954,70,1.162162771543,Other Nondenom
2024,1954,70,1.162162771543,Church of Christ
2024,2002,22,0.0671491080281511,Church of Christ
2024,1993,31,1.76869141226272,Other Nondenom
2024,1957,67,0.40594685850136,Southern Baptist
2024,1969,55,1.1411195857535,Free Will Baptist
2024,1989,35,0.990593657807476,Southern Baptist
2024,1989,35,0.990593657807476,Nondenom Evangelical
2024,1951,73,0.954669728553527,Nondenom Evangelical
2024,1984,40,0.048330651895641,Seventh Day Adventist
2024,1965,59,0.0362771415191148,Gen. Assoc. of Reg. Bapt.
2024,1951,73,0.666964953581892,United Methodist
2024,1946,78,0.648710590585803,United Methodist
2024,1946,78,0.648710590585803,Other Nondenom
2024,1957,67,4.56284844072784,Community Church
2024,1983,41,0.934374324924225,PCUSA
2024,1956,68,1.34492881680945,Assemblies of God
2024,1961,63,0.00684969799927064,Other Nondenom
2024,1972,52,0.0278259630114172,United Methodist
2024,1953,71,0.37801162218072,TEC
2024,1972,52,0.604486801510812,Other Presbyterian
2024,1972,52,0.604486801510812,Other Pentecostal
2024,1950,74,1.06753454621464,Lutheran - Missouri Synod
2024,1982,42,1.77246266643324,Other Baptist
2024,1942,82,1.34180306120121,Southern Baptist
2024,1960,64,0.220853172275756,United Methodist
2024,1958,66,1.15438057084775,United Methodist
2024,1952,72,0.608309123394455,Nondenom Evangelical
2024,1982,42,0.352833265211919,Assemblies of God
2024,1969,55,1.27302041524807,TEC
2024,1942,82,0.703024309264447,Interdenominational
2024,1942,82,0.703024309264447,Lutheran - Missouri Synod
2024,1967,57,0.78092027906549,Southern Baptist
2024,1994,30,0.963960654370381,PCUSA
2024,1960,64,0.574088353778535,Community Church
2024,1967,57,0.222041570836289,Other Nondenom
2024,1954,70,0.454333047403682,ELCA
2024,1948,76,0.758465047694107,PCUSA
