city,state,church,total_members,additions,losses,ruling_elders,deacons,tithes_offerings,building_fund_offering,total_contributions,other_income,total_church_income,current_expenses,building_fund_disbursed,grand_total_disbursements,per_capita_giving
Baltimore,MD,Abbott Memorial Presbyterian Church,184,7,33,4,4,245376,0,340792,0,340792,221737,10458,349720,2242.05263157895
Abingdon,VA,Abingdon Presbyterian Church,64,3,2,3,4,157019,NA,174871,NA,174871,146651,NA,174871,2866.73770491803
Houston,TX,Advent Presbyterian Church of Houston,83,28,10,NA,NA,572856,0,594935,32861,627796,762582,NA,786236,8499.07142857143
Somers,NY,Affirmation Presbyterian Church,40,2,0,2,2,130145,NA,141157,9938,151095,70436,NA,104236,4033.05714285714
Ridgeway,SC,Aimwell Presbyterian Church,89,1,0,3,3,189997,NA,200337,8667,209004,151563,NA,181191,2356.90588235294
Forest Hill,MD,Aisquith Presbyterian Church,80,1,5,3,5,250045,32098,296315,NA,296315,300478,140038,483016,4294.42028985507
Alexandria,VA,Alexandria Presbyterian Church,695,81,34,11,4,3694611,NA,3932347,62760,3995107,1756064,1827205,4057874,7802.27579365079
Aliso Viejo,CA,Aliso Creek Church,131,9,3,3,2,714647,NA,737989,42839,780828,616568,NA,687577,6530.87610619469
Charlotte,NC,All Nations Presbyterian Mission Church,22,4,1,2,4,5200,NA,7200,1700,8900,NA,NA,300,327.272727272727
St. Paul,MN,All Saints Presbyterian Church,288,14,12,3,7,439693,0,551307,30600,581907,369811,49607,488369,2784.37878787879
Brentwood,TN,All Saints Presbyterian Church,111,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green Bay,WI,All Saints Presbyterian Church,84,11,0,1,3,215000,NA,220988,NA,220988,192255,NA,216100,3112.50704225352
Huntsville,AL,All Saints Presbyterian Church,138,47,1,6,0,409187,0,494591,1310,495901,274058,0,296058,5151.98958333333
Boise,ID,All Saints Presbyterian Church,225,22,84,4,4,634173,1000,637800,17167,654967,528977,NA,634405,3356.84210526316
Austin,TX,All Saints Presbyterian Church,1749,216,35,10,19,4920287,3968949,9076376,101183,9177559,4010407,720485,5703659,6002.89417989418
St. George,UT,All Saints Reformed Church,86,10,0,0,0,213433,0,533659,NA,533659,225000,0,231000,11601.2826086957
