weight,attndperrls,attndonrls,educrec,inc_sdt1,hisp,racecmb,gender,birthdecade
4399.707780689229,2,5,2,2,2,1,2,6
6693.424548690791,6,6,4,7,2,1,2,4
3080.9162262702316,3,5,3,7,1,1,2,5
5470.685158402266,6,6,1,99,2,1,2,3
2474.9215111502826,5,5,3,5,2,2,2,4
5220.197875174728,1,2,2,2,2,2,2,2
6276.8290107659495,4,5,2,4,2,1,1,3
7408.343657972147,3,6,3,6,2,1,1,5
3800.2648466283886,5,5,3,99,2,1,2,3
3901.603222188652,4,5,3,5,2,1,2,4
3650.3069980030555,5,6,4,7,2,1,1,2
3937.0217074847965,5,6,4,1,2,1,1,6
4330.372696971016,4,6,3,8,2,1,1,5
31641.14282935093,2,2,2,2,2,2,2,6
11221.447744363693,5,6,1,4,2,1,1,2
1231.476950286032,5,6,2,1,2,1,2,1
6607.424665741336,5,6,3,6,2,1,2,4
3859.2746754044456,3,5,2,1,2,1,1,2
2631.399871096371,2,3,4,7,2,1,2,2
1980.9820686158575,2,5,2,2,2,1,2,2
1098.347898716013,3,2,3,1,2,4,2,3
4151.728847571564,1,4,2,99,2,1,2,3
37446.60763259571,5,6,1,1,2,2,1,4
1356.9758878267564,6,6,2,4,2,1,2,5
6814.339794770814,4,1,2,1,2,1,1,2
9365.601865290655,4,3,3,4,1,5,2,6
6448.333156957013,6,6,2,2,2,1,2,4
2468.1643003018453,2,6,2,8,2,1,2,3
11950.54051929918,1,6,99,99,99,9,2,99
14159.155951622712,5,6,2,3,2,1,2,4
28516.90956769129,4,4,1,2,2,5,1,5
7513.5292846135535,2,5,3,5,1,1,2,3
3713.6610360968602,4,5,4,8,2,1,2,3
8733.9365541922,1,5,2,1,2,4,2,3
16142.65264444647,6,6,2,1,2,1,1,6
2820.51391179858,6,6,2,4,2,1,1,4
3499.911906922394,5,6,3,99,2,1,2,2
4695.398219031011,2,6,2,4,2,1,2,3
7402.968292364427,6,6,2,5,2,2,1,3
14589.075725135664,2,2,2,1,2,1,2,3
2961.701589577326,5,1,99,99,2,3,99,1
1666.401122793006,2,1,2,99,2,1,1,1
3576.0337331695077,2,4,1,4,2,4,2,2
10076.809332132265,2,5,2,2,2,1,2,1
39399.42376644838,5,5,1,1,1,1,2,6
8970.242499816917,4,4,3,5,2,2,1,4
314.0037472092947,1,3,4,8,2,1,2,2
3133.734556741629,6,6,4,8,2,1,2,2
12984.314316639466,3,6,3,8,1,1,2,6
6930.6511667277855,3,3,3,8,2,1,1,3
4607.68609937845,6,6,4,8,2,1,1,4
4228.756379104554,5,6,3,8,2,1,2,2
7520.215890017496,4,4,3,2,1,9,2,2
4859.793829640714,1,5,3,99,2,1,2,4
11794.991756684762,1,4,1,1,2,1,2,5
2938.195245862582,2,1,2,1,2,1,2,2
6854.336224985071,5,6,4,4,2,1,1,5
1924.3230119171603,4,3,2,99,2,1,2,3
4579.819027714342,3,3,2,4,2,1,2,3
11733.495913530347,4,6,2,99,2,4,2,3
5939.382203126843,4,4,3,6,2,1,1,3
1983.9082063798512,5,5,3,6,2,1,1,1
12079.716538492372,5,6,3,8,2,1,1,6
15217.15258304248,3,3,2,6,2,1,2,3
5815.226023053857,3,1,1,2,2,2,2,3
8675.104079316332,5,5,2,8,2,1,1,4
3607.6072677129214,5,6,2,1,2,5,2,5
3690.409837410866,2,3,1,2,2,1,1,1
18507.426282197615,4,6,2,5,2,1,2,3
6319.271031592911,5,5,1,4,2,1,1,2
1451.5464488074772,3,5,2,2,2,1,1,1
1968.2601966072111,5,6,4,8,2,1,1,2
5145.966553675145,2,1,3,3,2,1,2,2
7082.331688369596,3,2,2,1,2,2,2,1
1967.642089294738,6,6,3,1,2,1,2,2
2798.187407246547,1,2,4,8,2,1,2,2
3852.7346225248752,1,3,2,7,2,1,1,4
4496.147821449484,5,6,4,8,2,1,1,5
9495.38103844852,5,5,2,4,2,1,2,7
7365.526749693772,1,1,1,1,1,2,3,6
5614.39310365732,6,6,3,7,2,1,2,2
10500.252669978514,4,3,3,5,2,2,1,5
4162.73415430487,6,6,1,2,2,1,2,1
9603.84679513142,3,5,2,99,2,1,2,4
1115.1308775475243,6,6,3,8,2,1,2,2
3614.7284893102137,6,6,4,8,2,1,2,4
11544.296162334553,4,3,2,5,2,1,2,5
8534.521411648568,6,6,2,5,2,3,1,4
1707.063397214808,5,6,2,1,2,2,2,2
2221.547848684984,5,6,3,5,2,1,1,2
2059.1782862095583,4,4,2,5,2,1,2,3
4808.523255769886,2,4,1,1,2,4,2,1
12169.599886195192,1,1,1,1,1,5,2,2
7133.36070733679,5,3,1,99,2,1,2,1
1966.1972400204481,6,6,3,5,2,1,2,1
1646.6110117937617,5,5,4,6,2,1,1,2
3824.0771940713016,1,1,4,99,1,5,1,3
7347.20004917734,5,4,2,5,2,1,1,5
874.9677729405862,5,4,2,1,1,5,2,1
5963.302550679813,2,3,3,99,2,9,1,3
3366.5604029503493,6,6,4,8,2,1,1,3
6900.171430519891,6,6,2,3,2,1,2,6
2056.201301687121,4,6,3,8,2,1,2,5
430.5930295570096,5,6,4,8,2,1,2,4
3563.4614334815833,4,6,4,8,2,1,2,3
4220.157858300964,5,6,1,2,2,1,2,1
1207.942564986453,2,4,2,1,2,1,2,3
8137.984877495117,1,2,4,7,2,2,2,3
50317.43069861148,6,6,2,99,2,1,3,7
5221.418662894475,2,3,3,8,2,1,2,6
28611.777087750786,2,1,2,6,1,1,2,99
9021.864098209746,5,6,3,4,2,1,2,4
3332.417261999494,5,6,3,4,2,4,1,3
7808.262518580733,5,5,2,5,2,1,2,7
1710.2801570574106,5,6,3,1,2,1,1,3
6502.106100074314,4,6,4,4,2,1,2,2
835.586960822887,2,4,3,4,2,1,1,2
15304.915881415674,5,6,1,2,1,5,2,2
3303.8865074006862,6,6,2,3,2,1,2,1
2806.796486332,5,5,1,2,2,1,2,5
9918.636636134981,5,6,2,99,2,1,2,3
782.5302715598698,5,5,3,6,2,3,2,2
1768.2261323601858,2,4,4,2,2,1,2,1
5508.924979173339,1,3,3,6,2,1,2,3
8016.799305621213,5,4,2,4,2,1,2,4
1710.3899897419062,2,4,4,6,2,1,2,2
7566.372027930555,3,4,1,1,2,1,2,3
5782.666603464562,4,6,1,1,1,5,2,2
4803.079068227103,4,5,1,99,1,1,2,7
6365.623326738459,6,6,1,8,2,1,2,1
7137.758927087022,5,5,1,1,2,5,2,6
38170.84405126805,6,6,1,1,2,1,1,3
2793.2464640991293,2,2,3,6,2,1,1,1
1444.451351755306,5,6,2,4,2,1,2,3
4728.712782218859,3,3,3,5,2,1,1,1
61815.06894024564,5,5,1,1,2,1,1,7
3499.328014322121,1,99,2,99,2,1,1,4
5817.579810307296,4,6,1,1,2,1,2,6
9807.382784301624,4,6,3,6,2,1,2,3
3359.150270162036,6,6,2,5,2,1,2,6
6270.044406225653,4,2,2,1,2,1,1,99
12722.356603876444,2,2,1,1,1,5,2,6
5129.035452613399,3,5,1,1,2,4,2,3
1761.9337771812634,5,5,4,8,2,1,1,1
10172.681027163962,3,2,1,1,1,5,2,1
11866.60174164085,2,5,1,8,2,1,2,3
6869.609378834701,5,6,4,8,2,1,1,3
7408.343657972147,3,6,3,8,2,1,1,6
2028.7081749586741,4,5,2,4,2,1,2,1
20977.236768674597,5,1,1,3,2,1,2,7
1048.9424020385966,6,6,3,1,2,1,1,2
6214.735836730602,6,1,2,2,1,1,1,4
1193.4556772037934,2,5,3,5,2,1,1,2
2651.2029457945,4,4,4,8,2,1,1,1
1792.2552565820104,4,4,3,6,2,1,2,1
1987.7359870447756,1,6,3,5,2,1,2,4
5422.881826138615,4,6,3,8,2,1,1,3
2446.826910998504,6,6,4,7,2,1,1,4
3962.847176134368,5,6,4,4,2,1,2,5
1876.6999261290325,2,2,2,99,2,1,1,1
2384.233877155086,4,5,4,7,1,1,1,3
2191.503935174307,6,6,1,1,2,1,2,2
1234.9006698019502,6,6,4,4,2,1,2,3
8398.952602924339,4,6,2,1,1,1,99,6
1739.8704065141424,2,5,2,4,2,1,2,2
4488.725027753406,6,6,2,3,2,1,1,4
5578.033015785157,6,6,1,1,2,1,2,3
44838.901814745965,3,2,1,1,2,3,2,3
1141.1240816933646,6,5,2,6,2,1,2,5
4901.134764954524,5,6,4,4,2,1,2,1
2196.4416379294494,3,3,2,1,2,1,2,3
2703.0695239904717,4,6,3,4,2,5,2,4
4006.890468773228,5,4,2,4,2,1,1,1
13366.156813229145,4,2,1,1,1,1,1,5
1027.0304645164529,6,6,2,99,2,1,2,2
10668.882108947782,5,5,1,2,2,1,1,1
2945.6260601317717,6,6,4,99,2,1,99,2
45287.21672458019,4,6,1,8,2,3,3,7
5567.985495681443,6,6,2,3,2,1,2,2
1926.4754909690187,4,6,4,8,2,1,1,1
10373.163345857514,6,5,1,5,2,1,1,1
5827.084227550638,4,4,4,8,2,1,2,5
2387.7602279448224,4,2,4,2,2,1,1,3
40784.29811001795,2,6,1,7,2,1,1,7
11681.722400163111,5,5,1,1,2,1,2,1
3642.865104814603,6,6,4,7,2,1,1,1
2179.682310708535,6,6,2,4,2,1,1,1
6049.542710456256,5,4,2,1,2,4,2,4
6093.631284645031,6,6,3,8,2,1,2,6
6909.874456847638,6,6,2,4,1,1,2,6
1901.8951169094469,2,2,4,8,2,1,2,3
3826.197905346056,4,3,3,7,2,1,2,3
9059.816511944962,2,6,1,2,2,1,2,5
9455.266667211521,5,6,1,5,2,1,2,3
3550.6194458385476,1,5,1,1,2,4,2,7
11667.617555653489,4,6,3,8,2,1,1,6
1365.21320225254,6,6,2,3,2,1,2,6
1687.2190043490396,6,6,2,4,2,1,2,2
458.24521550111194,1,6,3,5,2,1,1,1
4468.917205657653,2,6,4,8,2,1,1,3
1740.6393378706155,4,6,4,8,2,1,1,2
10852.508456994385,2,4,3,8,2,3,2,3
4128.344847248756,4,6,4,8,2,1,2,3
5720.422571212616,5,4,2,1,2,2,2,6
9562.42063361544,4,3,4,8,2,1,1,4
9101.670655683474,4,6,4,99,2,1,2,6
15425.284872953176,2,6,4,8,2,1,1,5
15226.49229931859,3,3,1,6,1,1,2,6
49986.40114323382,2,5,1,99,2,3,1,7
4126.447163621789,5,6,2,5,2,1,2,3
2001.7904887062339,5,5,2,99,2,1,2,1
2222.8946174678413,6,6,4,99,2,1,2,1
6559.491353170243,3,1,1,3,2,2,2,6
5957.52694737637,1,4,1,2,2,2,1,2
1595.4807631654182,5,5,4,4,1,1,2,6
28634.054586297527,5,6,1,2,2,4,1,3
2157.287495755558,3,4,3,7,2,1,1,1
1440.9152215957374,2,3,3,6,2,1,2,2
2908.354908200855,5,6,4,6,2,3,1,6
8735.605176087023,2,2,4,1,2,2,2,6
4648.707705441418,6,6,3,4,2,1,2,2
1545.2853229744367,6,6,4,6,2,1,2,4
5315.876091249342,4,6,2,8,2,1,1,4
2870.930146483374,4,1,3,99,2,1,1,3
23278.519745729514,4,5,4,1,2,3,2,4
5521.835326944733,6,2,2,6,2,1,2,4
17612.765212456776,3,6,1,4,2,1,1,1
12857.435894329343,6,6,1,1,1,4,2,5
13587.632143725108,6,6,2,6,2,1,2,6
3365.2354293576486,2,2,2,6,2,1,2,3
7971.225681197318,6,6,2,1,2,4,2,6
11339.240352227178,6,6,99,99,2,9,99,1
7004.399263225352,5,5,2,1,2,1,1,4
1085.9792718379074,2,5,2,6,1,4,2,3
1653.5054514378432,3,3,2,4,2,1,2,4
8316.122017062553,2,5,3,7,2,4,2,5
12118.890605877812,4,6,2,7,2,1,1,5
3573.979109002102,4,4,3,6,1,5,2,1
1413.0947304069891,2,5,3,5,2,1,2,1
7442.765429011609,3,4,3,4,2,3,2,5
47176.97454892086,2,1,1,1,2,9,1,5
14285.41338124024,1,1,1,7,2,4,2,2
18237.890380568573,4,4,1,8,2,1,1,5
2884.0218862859283,6,6,4,4,2,1,1,1
9918.636636134981,6,6,2,6,2,1,2,3
3671.8931710215797,6,5,1,4,2,3,1,1
4331.405494398488,99,6,2,3,2,1,2,4
7784.458369394819,5,6,2,4,2,1,2,5
2560.9291381969056,4,2,2,2,2,1,2,2
8096.429759023755,1,3,3,5,2,1,2,6
5313.984322905532,4,6,3,5,2,3,1,2
1527.7840882457017,5,6,3,8,2,3,2,6
2356.0397341892754,5,5,3,6,2,2,2,1
6473.42895512568,5,6,1,8,2,1,2,1
953.3183638206772,2,3,3,99,2,1,1,1
5876.892874081522,5,6,4,7,2,1,2,2
23863.45983449528,5,6,1,2,2,1,2,3
2920.966425675691,6,5,3,6,2,1,2,5
10296.289524799411,4,6,1,4,2,1,1,1
3892.6775665664104,6,6,4,8,2,1,1,1
471.4724592317394,6,6,4,8,2,1,1,2
3233.2864388565863,4,6,4,8,2,1,1,3
3907.3155682184965,2,3,2,2,1,4,3,6
1199.8922353991854,2,5,2,1,2,1,1,2
6511.163531135362,5,6,3,8,2,1,2,4
4596.120951230742,6,6,2,3,2,1,1,3
3503.819245300591,5,3,2,1,2,1,2,2
3477.169073389181,2,2,3,6,2,1,2,3
19867.148437717955,6,6,1,7,2,1,1,4
6507.3024882760255,2,5,4,8,2,1,2,1
1097.6657061596889,4,6,2,7,2,1,1,2
13233.577096937775,6,4,1,1,1,5,2,6
6283.126000559264,3,6,3,8,2,1,1,4
4312.449959310688,1,1,2,6,2,1,2,3
10120.71332832814,5,6,2,5,1,1,1,6
2945.187547686887,5,6,2,4,2,1,2,3
2399.4560685961756,6,6,3,8,2,1,1,1
16389.381619197884,5,6,4,4,2,3,2,6
4868.313944943692,6,6,2,7,1,1,1,2
2416.902956134637,2,1,4,3,2,1,2,1
2160.707398538181,6,6,3,1,2,1,2,4
5524.347969188024,6,6,4,8,2,1,1,4
31986.694540832446,2,2,4,1,2,3,1,4
4540.333766024795,5,6,1,1,2,1,2,2
